Date,REVENUE FROM OPERATIONS [GROSS],Less: Excise/Sevice Tax/Other Levies,REVENUE FROM OPERATIONS [NET],TOTAL OPERATING REVENUES,Other Income,TOTAL REVENUE,Cost Of Materials Consumed,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,TOTAL EXPENSES,"PROFIT/LOSS BEFORE EXCEPTIONAL, EXTRAORDINARY ITEMS AND TAX",Exceptional Items,PROFIT/LOSS BEFORE TAX,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,TOTAL TAX EXPENSES,PROFIT/LOSS AFTER TAX AND BEFORE EXTRAORDINARY ITEMS,PROFIT/LOSS FROM CONTINUING OPERATIONS,PROFIT/LOSS FOR THE PERIOD,Basic EPS (Rs.),Diluted EPS (Rs.),Imported Raw Materials,Indigenous Raw Materials,Imported Stores And Spares,Indigenous Stores And Spares,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
01-03-2011,258651,10481,248170,248170,3052,251222,193234,8245,-3243,2624,2328,13608,7720,225980,25242,0,25242,4320,0,636,0,4956,20286,20286,20286,62,62,177226,16008,1724,1654,2385,387,80
01-03-2012,339792,9888,329904,329904,6192,336096,274814,10307,-872,2862,2667,11394,7733,310346,25750,0,25750,5150,0,560,0,5710,20040,20040,20040,61,61,251583,23231,1816,1666,2531,410,85
01-03-2013,371119,10822,360297,360297,7998,368295,306127,13223,-3317,3354,3036,9465,9621,342011,26284,0,26284,5244,0,37,0,5281,21003,21003,21003,65,65,277824,28303,1725,2074,2628,447,90
01-03-2014,401302,11185,390117,390117,8936,399053,329313,16584,412,3370,3206,8789,9037,371235,27818,0,27818,5812,0,22,0,5834,21984,21984,21984,68,68,295338,33975,1843,2603,2793,475,95
01-03-2015,340814,11738,329076,329076,8721,337797,255998,19693,1943,3686,2367,8488,10593,308329,29468,0,29468,6124,0,625,0,6749,22719,22719,22719,70,70,232867,23131,2176,2526,2944,615,100
01-03-2016,251241,18083,233158,233158,7582,240740,152769,17328,4171,4260,2454,9566,12757,205039,35701,0,35701,7802,0,482,0,8284,27417,27417,27417,85,85,140109,12660,1810,2955,3095,605,105
01-03-2017,265041,23016,242025,242025,8709,250734,164250,0,-4839,4434,2723,8465,29763,209957,40777,0,40777,8333,0,1019,0,9352,31425,31425,31425,97,97,0,0,0,0,0,0,110
01-03-2018,315357,25315,290042,290042,8220,298262,198029,0,-3232,4740,4656,9580,31496,252537,45725,0,45725,8953,0,3160,0,12113,33612,33612,33612,53,53,0,0,0,0,3255,661,60
01-03-2019,401583,29967,371616,371616,8822,380438,265288,24839,-3294,5834,9751,10558,14252,333071,47367,0,47367,9440,0,2764,0,12204,35163,35163,35163,55,55,0,0,0,0,3554,728,65
01-03-2020,365202,29224,335978,335978,14541,350519,237342,21424,77,6067,12105,9728,14306,305958,44561,-4245,40316,7200,0,2213,0,9413,30903,30903,30903,49,49,0,0,0,0,3852,732,65
